SiteInfo [name=直播吧, count=23324] 代表新闻: 阿扎尔出场仅15分钟后伤退 / 
SiteInfo [name=football-italia, count=4082] 代表新闻: 坎德拉：不想看到孔蒂来罗马 / http://www.football-italia.net/77798/candela-conte-wrong-roma
SiteInfo [name=Goal.com, count=3558] 代表新闻: 巴黎小将：可能会考虑离开 / http://www.goal.com/en/news/11/transfer-zone/2016/01/03/18937642/marquinhos-may-consider-psg-exit?utm_source=dlvr.it&utm_medium=twitter
SiteInfo [name=FourFourTwo, count=2359] 代表新闻: 理查兹：我们仍会力争保级 / http://www.fourfourtwo.com/au/news/aston-villa-captain-richards-issues-pledge-fans#:pXj-wt6fvOw5yA
SiteInfo [name=马卡报, count=2188] 代表新闻: 本泽马训练时受伤首发成疑 / http://www.marca.com/en/football/real-madrid/2016/01/02/5688095c268e3e944e8b45e5.html
SiteInfo [name=天空体育, count=1562] 代表新闻: 阿森纳700万敲定巴塞尔后腰 / http://www.skysports.com/football/news/11095/10118430/arsenal-on-verge-of-signing-mohamed-elneny-from-basel
SiteInfo [name=fourfourtwo, count=1336] 代表新闻: 希丁克：不敢冒险使用帕托 / http://www.fourfourtwo.com/news/chelsea-wont-take-risks-pato-hiddink#:glJMMccnxk9rnA
SiteInfo [name=每日镜报, count=1229] 代表新闻: 药厂高层：小豌豆是非卖品 / http://www.mirror.co.uk/sport/football/transfer-news/transfer-news-live-arsenal-prepare-7110143?ICID_mirror_MF
SiteInfo [name=微博, count=834] 代表新闻: 邓小飞感谢江苏：讲不出再见 / 
SiteInfo [name=每日体育报, count=740] 代表新闻: J罗为超速辩解：怕训练迟到 / http://www.sport-english.com/en/news/liga-bbva/james-rodriguezs-incredible-excuses-for-run-in-with-police-4790483
SiteInfo [name=阿斯报, count=726] 代表新闻: 皮克：要找出种族主义者 / http://futbol.as.com/futbol/2016/01/02/primera/1451762204_094820.html
SiteInfo [name=每日邮报, count=681] 代表新闻: 英超三年海外转播权售出32亿 / http://www.dailymail.co.uk/sport/football/article-3382281/New-year-new-TV-billions-Premier-League-rules-world-foreign-sales-games-set-hit-1billion-year-2016-deals.html
SiteInfo [name=BBC, count=554] 代表新闻: 拉涅利：目标达成可开香槟了 / http://www.bbc.com/sport/live/football/34976135
SiteInfo [name=Le10Sport, count=533] 代表新闻: 巴黎考虑与纽卡争夺拉卡泽特 / http://www.le10sport.com/football/mercato/mercato-psg-al-khelaifi-distance-par-une-offre-a-25m-pour-lacazette-217338
SiteInfo [name=Twitter, count=533] 代表新闻: 队报评年度最佳阵：巴萨7人 / 
SiteInfo [name=sport1.de, count=531] 代表新闻: 沙尔克04：我们不会卖萨内 / http://www.sport1.de/fussball/bundesliga/2016/01/schalke-04-clemens-toennies-schliesst-verkauf-von-leroy-sane-aus
SiteInfo [name=足球市场, count=530] 代表新闻: 托马斯：要学习的还有很多 / http://www.calciomercato.it/news/363354/atletico-madrid-levante-thomas-giocare-di-pi-devo-imparare-tanto.html
SiteInfo [name=世界体育报, count=523] 代表新闻: 恩里克：平局对双方都公平 / http://www.mundodeportivo.com/futbol/fc-barcelona/20160102/301154843338/luis-enrique-el-resultado-ha-sido-justo.html
SiteInfo [name=squawka, count=435] 代表新闻: 斯科尔斯谈利物浦 / http://www.squawka.com/news/scholes-klopp-must-build-liverpools-team-around-coutinho-and-sturridge-next-season/611011
SiteInfo [name=图片报, count=312] 代表新闻: 德媒：曼城5500万报价萨内 / http://www.bild.de/sport/fussball/leroy-sane/wird-er-der-teuerste-deutsche-spieler-44003024.bild.html
SiteInfo [name=football-espana, count=293] 代表新闻: 西蒙尼：球迷与我们很亲近 / http://www.football-espana.net/56015/%E2%80%98fans-staying-close-atleti%E2%80%99
SiteInfo [name=阿森纳官网, count=270] 代表新闻: 温格：顶级的切赫太棒了 / http://www.arsenal.com/news/news-archive/20160102/wenger-top-class-cech-was-huge-for-us
SiteInfo [name=镜报, count=225] 代表新闻: 镜报：伊斯科想转投曼城 / http://www.mirror.co.uk/sport/football/transfer-news/unhappy-real-madrid-star-isco-7103445
SiteInfo [name=米兰新闻网, count=203] 代表新闻: 博阿滕将挤掉切尔奇的位置 / http://www.milannews.it/rassegna-stampa/tuttosport-boateng-ha-gia-fatto-la-valigia-a-cerci-197454
SiteInfo [name=ESPN, count=198] 代表新闻: 沃尔科特：球队知道如何争冠 / http://www.espnfc.com/arsenal/story/2778293/theo-walcott--arsenal-know-what-we-need-to-do-to-win-title
SiteInfo [name=队报, count=189] 代表新闻: 西里古训练中受伤 或将离队 / http://www.lequipe.fr/Football/Actualites/Psg-salvatore-sirigu-blesse/621791
SiteInfo [name=whoscored, count=186] 代表新闻: 切尔西赛后评分：科斯塔最佳 / http://www.whoscored.com/Matches/959672/Live
SiteInfo [name=ESPNFC, count=181] 代表新闻: 联赛杯碌碌无为90分钟，鲁尼周末首发悬了 / http://www.espnfc.com/blog/the-match/60/post/2954979/wayne-rooney-running-out-of-chances-as-man-united-captain-fails-to-impress
SiteInfo [name=Squawka, count=176] 代表新闻: 墨菲：贝尔要更聪明些 / http://www.squawka.com/news/murphy-bale-must-be-cleverer-than-to-fuel-real-madrid-exit-talk/569794
SiteInfo [name=米兰体育报, count=169] 代表新闻: 阿莱士：与小罗马搭档很满意 / http://www.gazzetta.it/Calcio/Serie-A/Milan/02-01-2016/milan-alex-mihajlovic-duro-lui-anche-io-sono-top-140136555982.shtml
SiteInfo [name=曼联官网, count=160] 代表新闻: 范加尔：鲁尼脚后跟破门精彩 / http://www.manutd.com/en/News-And-Features/Football-News/2016/Jan/manager-reaction-louis-van-gaal-reflects-on-manchester-united-2-swansea-city-1-on-2-january-2016.aspx
SiteInfo [name=迪马济奥个人网站, count=153] 代表新闻: 罗马小将：希望哲科找回状态 / http://gianlucadimarzio.com/en/eng/roma-sadiq-me-in-the-place-of-dzeko-i-dont-think-so/
SiteInfo [name=巴萨官网, count=146] 代表新闻: 巴萨官网：年度180球51胜 / http://www.fcbarcelona.com/football/first-team/detail/article/180-goals-and-51-wins-in-a-record-breaking-2015
